name,1,2,3,4,5,6,7,8,9,10
mongo Create,0.000592233,0.000598575,0.00061533,0.000598109,0.000592233,0.000608815,0.000585541,0.000588334,0.000567389,0.000575767
mongo Read,0.150618728,0.141158833,0.141836534,0.125242153,0.125507927,0.111096527,0.103744674,0.099311686,0.096478465,0.096667904
mongo Update,0.096531993,0.09954069,0.086677856,0.081399603,0.083873028,0.083631457,0.082222061,0.085758584,0.065594167,0.068657323
mongo Delete,0.634213787,0.618743943,0.625227258,0.603441198,0.60572751,0.587739558,0.572456361,0.556565747,0.572197103,0.588412139
redis Create,0.000485831,0.000546444,0.000467782,0.000458938,0.000498967,0.00041984,0.000397963,0.000462662,0.000559476,0.000560407
redis Read,0.000520843,0.000454283,0.000469178,0.000411462,0.00046592,0.000427287,0.000440785,0.000487331,0.000459869,0.000527825
redis Update,0.000238138,0.000236917,0.000237382,0.000243432,0.00023552,0.000233658,0.000236451,0.000237847,0.000238138,0.000243898
redis Delete,0.000169957,0.000169957,0.000176407,0.000169957,0.000169891,0.000167564,0.000167564,0.000166167,0.000169891,0.000172218
cassandra Create,0.003733876,0.004881686,0.00387584,0.003068742,0.002904435,0.004041075,0.003915868,0.004027112,0.00395776,0.002932363
cassandra Read,0.003371751,0.004757875,0.003938675,0.004930094,0.004247272,0.00424029,0.003980101,0.004006632,0.005010617,0.00398941
cassandra Update,0.002323549,0.005844246,0.003160436,0.003958225,0.003986617,0.003826501,0.003148799,0.004986879,0.003989875,0.003989875
cassandra Delete,0.003152523,0.003978704,0.004985017,0.005001774,0.003980567,0.003982428,0.003954501,0.004027578,0.003980567,0.003993133
mssql Create,0.000468314,0.000468314,0.000468314,0.00045661,0.00044544,0.000455215,0.000540393,0.0005376,0.000438459,0.00040448
mssql Read,0.055504356,0.055331827,0.055314606,0.055913645,0.05702422,0.054557311,0.056970692,0.055127958,0.054601995,0.054696948
mssql Update,0.057003791,0.055106082,0.059358008,0.056754721,0.057668874,0.056734707,0.056897616,0.05490454,0.057843885,0.057765689
mssql Delete,0.055761442,0.05490454,0.056035129,0.055862445,0.055090256,0.055625063,0.054720685,0.054859856,0.055075362,0.053982009
mysql Create,0.00341266,0.003130181,0.003462981,0.002758748,0.002912348,0.003873046,0.003530006,0.003980567,0.003038486,0.004027577
mysql Read,0.624894924,0.622016088,0.625868654,0.624964742,0.636434004,0.616668482,0.633432289,0.612949967,0.612915988,0.62334946
mysql Update,0.727978186,0.764790513,0.732218477,0.729581212,0.72521106,0.78732642,0.743195082,0.745624961,0.732752353,0.743272554
mysql Delete,0.718171062,0.71972056,0.72306997,0.712666598,0.730467902,0.719509709,0.726581358,0.716221739,0.718656996,0.72993682
